Species,subclass,GrowthForm_CTD,Abund_CTD,IUCNstatus,MeanPCcover,coralcover,Range,ReefArea_Range,family_molecules,family_morphology,larval,IUCN conservation status,Depth lower,Depth upper,Eastern-most range edge,Genus fossil age,Northern-most range edge,Oocyte size at maturity,Range size,Southern-most range edge,Species age phylogeny,Veron species id,Water depth,Western-most range edge,Colony maximum diameter,Corallite width maximum,Corallite width minimum,Growth rate,Water temperature,Nitrogen concentration,Phosphorus concentration,Sample identifier,Calcification rate,Irradiance,Skeletal density,Skeletal micro-density,Symbiodinium density,Tissue thickness,Year,Propagule size on release,Colony area,Colony fecundity,Colony shape factor,Distance from crest,Length of nonreproductive zone,Polyp fecundity,Polyps per area,Ratio of female to male gonads,Size at maturity,Egg size,Flow rate,Mitotic index,RNA:DNA ratio,Season,Chlorophyll a,Lipid content,Total biomass,Protein biomass,Age at maturity,Eggs per area,Generation time,Mesentery fecundity,Number of septa per corallite,Dark respiration,Gross photosynthesis,Larval swimming speed,Dissolved oxygen concentration,Distance from shore,Downward flux of suspended particulate matter,Light extinction coefficient,Nitrite-nitrate concentration,Particulate organic matter concentration,Phosphate concentration,Salinity,Suspended particulate matter concentration,Individual identifier,Propagule age,Rainfall,Sunlight,Colony surface area
Caulastraea curvata,Hexacorallia,NA,NA,NA,0.01,19983.01076146937,27889891,169401,NA,Faviidae,NA,NA,20,0,-176.15397573,52.44,26.3907438,NA,26146288.315,-28.82786664,0.501378568874119,110,NA,94.8827075,100,13.9,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caulastraea tumida,Hexacorallia,NA,NA,NA,0.01,19983.01076146937,31832835,182154,NA,Faviidae,NA,NA,40,2,164.10968916,52.44,36.88927034,NA,30960745.25,-30.97452978,0.523211904375291,113,NA,31.7583974,100,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coeloseris mayeri,Hexacorallia,massive,common,LC,0.348,695408.7744991339,50036509,208830,Agariciidae,Agariciidae,NA,Least Concern,5,1,-174.93842237,15.91,30.39525335,NA,41421693.145,-32.34622853,4.49196293246376,115,1.4545454545454546,26.5143368,NA,11.9,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coscinaraea columna,Hexacorallia,massive,common,LC,0.107,213818.21514772222,73997921,243523,Coscinaraeidae,Siderastreidae,spawner,Least Concern,30,5,-105.44113462,30.68,38.68167919,NA,68826882.87,-34.30604722,1.03411960859402,116,5.1,25.6917469,NA,6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coscinaraea crassa,Hexacorallia,encrusting,rare,NT,0.08,159864.08609175496,29748771,153896,Coscinaraeidae,Siderastreidae,NA,Near Threatened,30,10,176.05317188,30.68,36.50306444,NA,25698005.35,-28.37947258,2.32852380978834,117,3,33.3465675,NA,12.9,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coscinaraea exesa,Hexacorallia,columnar,common,LC,0.159,317729.8711073629,39566203,190246,Coscinaraeidae,Siderastreidae,NA,Least Concern,27.5,4.5,-137.77704437,30.68,27.93367276,NA,41231910.82,-33.80092446,1.03411960859402,118,10,94.7313937,NA,6.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coscinaraea monile,Hexacorallia,massive,common,LC,0.05,99915.05380734683,33656770,130299,Coscinaraeidae,Siderastreidae,NA,Least Concern,54,5.666666666666666,140.20163525,30.68,36.3281789,NA,34792792.315,-34.32558109,1.22901929198352,385,3,23.552977,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctenactis crassa,Hexacorallia,massive,common,LC,0.018,35969.41937064486,40883310,216507,Fungiidae,Fungiidae,spawner,Least Concern,67,NA,-172.67238418,15.870000000000001,30.8557498,155,42206804.485,-30.33323343,2.93439294076261,211,NA,31.6484065,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctenactis echinata,Hexacorallia,massive,common,LC,0.057,113903.1613403754,47700974,219215,Fungiidae,Fungiidae,spawner,Least Concern,20,1,-163.731902719,15.870000000000001,37.15099707,266,47345652.75,-30.10767082,2.92180575548807,172,0,31.6073951,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycloseris curvata,Hexacorallia,massive,rare,VU,0.013,25977.913989910176,58477188,201764,Fungiidae,Fungiidae,NA,Vulnerable,73,3,-75.79061196,107,32.88363321,NA,52835880.055,-33.22310262,1.344088860483,382,NA,31.3248906,9,81,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycloseris explanulata,Hexacorallia,laminar,common,NA,0.007,13988.107533028557,61805745,214628,Fungiidae,Siderastreidae,NA,NA,31.666666666666668,18.333333333333332,-137.77704437,107,30.55695593,NA,57465195.31999999,-29.95344248,1.01828698972737,331,NA,30.7232844,NA,4.5,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyphastrea agassizi,Hexacorallia,massive,uncommon,VU,0.015,29974.51614220405,53027593,177588,Merulinidae,Faviidae,NA,Vulnerable,20,3,-146.94744188,28.8,30.95677605,NA,37328069.175,-24.872795,3.83592327985357,439,NA,93.881801,NA,2.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyphastrea chalcidicum,Hexacorallia,massive,common,LC,0.058,115901.46241652234,66681755,234776,Merulinidae,Faviidae,spawner,Least Concern,50,0,-136.6991628,28.8,36.94486411,306,62656587.07000001,-32.47418847,2.22334790765739,128,0.5,31.0143204,100,2.8,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyphastrea japonica,Hexacorallia,submassive,uncommon,LC,0.03,59949.0322844081,10540989,81378,Merulinidae,Faviidae,NA,Least Concern,20,2,140.47552991,28.8,37.22690118,NA,12906579.48,-11.89838696,1.24054184452876,497,1,93.8824731,NA,1.9,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyphastrea microphthalma,Hexacorallia,massive,common,LC,0.071,141879.37640643248,74132790,242521,Merulinidae,Faviidae,spawner,Least Concern,24,1,-134.07643731,28.8,38.25107314,293.5,70090854.64500001,-33.4448351,1.23726331306149,130,10,29.7825044,NA,2.7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyphastrea serailia,Hexacorallia,massive,common,LC,0.14,279762.1506605712,73631964,243460,Merulinidae,Faviidae,spawner,Least Concern,38.75,2.75,-125.67961923,28.8,38.89698222,313.5,70540472.315,-35.59786538,2.22334790765739,131,5.583333333333334,28.0600802,NA,2.4,1.4,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danafungia scruposa,Hexacorallia,massive,common,LC,0.01,19983.01076146937,26137110,158498,Fungiidae,Fungiidae,spawner,Least Concern,41,1,-133.95763876,NA,30.95417712,NA,55032857.230000004,-32.53144355,1.90942368683598,175.5,NA,31.3859336,24,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diploastrea heliopora,Hexacorallia,massive,uncommon,NT,0.248,495578.6668844403,55983207,226503,Diploastraeidae,Faviidae,spawner,Near Threatened,30,0,-167.191688899,108.46,30.8119151,290,52480043.55,-30.63689894,64.5228175051602,134,7.992424242424241,31.7583974,633.3333333333334,9,7,2.4323928571428572,NA,1.0233104582,0.1281091332,139.22222222222223,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36384176525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinophyllia aspera,Hexacorallia,laminar,common,LC,0.051,101913.35488349377,71507840,242762,Lobophyllidae,Pectiniidae,spawner,Least Concern,57,8.5,-134.07643731,22.234,38.46637616,414,68934427.64,-34.9519563,0.253727385536922,136,3.375,26.1223529,NA,10.9,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinophyllia echinata,Hexacorallia,laminar,uncommon,LC,0.055,109906.55918808152,66874958,235717,Lobophyllidae,Pectiniidae,NA,Least Concern,40,5,-136.70830726,22.234,37.06962081,NA,61084601.949999996,-34.40135378,1.77254049834432,137,5.8,31.0674702,NA,12.9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinophyllia echinoporoides,Hexacorallia,encrusting,common,LC,0.059,117899.76349266926,11552099,129870,Lobophyllidae,Pectiniidae,NA,Least Concern,30,3,158.38807334,22.234,29.09332412,NA,14349108.575,-32.32475491,1.7510880393914,138,10,94.7920482,NA,5.7,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinopora gemmacea,Hexacorallia,laminar,common,LC,0.218,435629.63460003224,66172944,240150,Merulinidae,Faviidae,spawner,Least Concern,35,1,-135.92138356,19.714,33.74035952,340,65061177.015,-34.18900221,0.854362833367538,140,4.583333333333334,27.8382381,NA,4.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinopora hirsutissima,Hexacorallia,submassive,uncommon,LC,0.083,165858.98932019575,49688810,209712,Merulinidae,Faviidae,NA,Least Concern,40,0,-176.46335183,19.714,30.505628,NA,49430644.405,-33.75770467,0.588190599123175,141,3.142857142857143,27.6225894,NA,4.2,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinopora horrida,Hexacorallia,encrusting_long_uprights,uncommon,NT,0.11,219813.11837616304,30274756,175980,Merulinidae,Faviidae,spawner,Near Threatened,25,3,-176.46335183,19.714,19.50754087,NA,32941391.15,-32.67946084,1.37299871244419,142,4.722222222222222,80.6721861,500,2.4,2,NA,NA,1.151011475,0.323209877,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinopora lamellosa,Hexacorallia,laminar,common,LC,0.515,1029125.0542156724,73345463,241121,Merulinidae,Faviidae,spawner,Least Concern,35,2,-135.44452007,19.714,37.18735618,261,70194905.85,-33.18767911,0.694108475897985,143,2.6906976744186046,29.3143945,500,3.4,2.3,NA,NA,NA,0.124681296,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinopora mammiformis,Hexacorallia,encrusting_long_uprights,common,NT,0.362,723384.9895651911,40116099,175341,Merulinidae,Faviidae,NA,Near Threatened,15,3,-170.39918194,19.714,27.77323748,NA,32045791.34,-33.67557655,9.39092109946586,144,7.683333333333334,38.8486452,500,8.9,6.1,NA,NA,0.65349533175,0.22801808099999998,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.211176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinopora pacificus,Hexacorallia,laminar,common,NT,0.113,225808.02160460385,27404947,159858,Merulinidae,Faviidae,spawner,Near Threatened,15,1,-176.03205429,19.714,29.2117354,NA,25528437.28,-27.71953919,0.854362833367538,448,1,94.9050048,NA,4.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphyllia cristata,Hexacorallia,massive,common,VU,0.01,19983.01076146937,33418075,181617,Euphylliidae,Euphyllidae,NA,Vulnerable,35,1,-175.80631684,48.74,30.10568368,NA,34723713.95,-33.30848029,1.48126980618824,146,NA,94.4858414,12,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphyllia glabrescens,Hexacorallia,massive,common,NT,0.007,13988.107533028557,57041586,229243,Euphylliidae,Euphyllidae,brooder,Near Threatened,27.5,2,-175.98238217,48.74,33.52299133,NA,55045935.335,-32.9803135,1.39728963302369,148,4,31.0781375,NA,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphyllia paraancora,Hexacorallia,massive,uncommon,VU,0.05,99915.05380734683,19228260,102545,Euphylliidae,Euphyllidae,spawner,Vulnerable,30,3,175.37023199,48.74,29.87630087,NA,18141992.835,-24.53708423,1.55384432314385,498,NA,94.6003635,NA,30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Favites abdita,Hexacorallia,massive,common,NT,0.281,561522.6023972894,78650906,242940,Merulinidae,Faviidae,spawner,Near Threatened,26.666666666666668,2,-135.40381939,48.059999999999995,37.61642738,407.5,72251149.285,-34.90409838,1.33176491981708,160,3.625438596491228,26.6548826,100,15,7.5,0.8,NA,0.929819824,0.1961237395,183.25,NA,NA,NA,NA,NA,NA,NA,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.750855014333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Favites chinensis,Hexacorallia,massive,common,NT,0.071,141879.37640643248,58223062,228489,Merulinidae,Faviidae,spawner,Near Threatened,20,0,-175.45897264,48.059999999999995,37.75272169,395,57089008.555,-31.2839916,2.73147335742883,162,3,27.8975988,NA,12.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Favites complanata,Hexacorallia,massive,uncommon,NT,0.048,95918.45165505297,64979928,240802,Merulinidae,Faviidae,spawner,Near Threatened,27.5,3,-134.50704337,48.059999999999995,38.89698222,371.5,62754606.605000004,-35.16725933,0.952899186108228,163,3,27.6294741,NA,18.8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Favites flexuosa,Hexacorallia,massive,uncommon,NT,0.078,155867.48393946106,71335568,239267,Merulinidae,Faviidae,spawner,Near Threatened,20,5.5,-135.47885071,48.059999999999995,37.53425108,NA,67470677.25999999,-35.21646261,0.180787747532672,164,4,25.7128927,NA,18.8,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Favites halicora,Hexacorallia,massive,uncommon,NT,0.133,265774.0431275426,57893396,225308,Merulinidae,Faviidae,spawner,Near Threatened,55,NA,-175.45897264,48.059999999999995,30.98013273,352,55922609.629999995,-34.997992000000004,0.180787747532672,165,2.2222222222222223,26.5867751,NA,16.8,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Favites micropentagonus,Hexacorallia,NA,NA,NT,0.033,65943.93551284891,6854113,73434,NA,Faviidae,NA,Near Threatened,20,0,132.89280086,48.059999999999995,29.80480285,NA,11292395.407000002,-12.41744376,0.887918182440587,748,NA,94.6065264,50,5.2,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Favites pentagona,Hexacorallia,submassive,uncommon,LC,0.058,115901.46241652234,64275457,231329,Merulinidae,Faviidae,spawner,Least Concern,45,3.5,-176.3828836,48.059999999999995,37.36806941,NA,62855763.175,-33.91066652,0.887918182440587,166,3.2818181818181817,28.3933883,100,8.5,3.8,NA,NA,0.8590291800000001,0.2305658625,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.620080053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Favites vasta,Hexacorallia,massive,uncommon,NT,0.027,53954.12905596729,17726659,72578,Merulinidae,Faviidae,NA,Near Threatened,20,1,154.72182229,48.059999999999995,30.48780766,NA,18898317.565,-29.34119085,0.469524513467355,664,3,31.3689228,NA,17.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungia fungites,Hexacorallia,massive,common,NT,0.077,153869.1828633141,66931149,236614,Fungiidae,Fungiidae,spawner,Near Threatened,50,0,-135.6965214,26.534,37.15509821,NA,33050257.1465,-33.38448031,1.74475675495482,554.5,2.743589743589743,31.2218881,28,158,NA,2,29,NA,NA,NA,0.41,NA,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galaxea astreata,Hexacorallia,submassive,common,VU,0.035,69940.5376651428,56837149,229360,Euphylliidae,Oculinidae,spawner,Vulnerable,35,9,-168.053559105,28.586000000000002,37.11571178,NA,53354398.935,-32.22433312,0.518269449254346,184,3.7,31.7398894,166.66666666666666,3.7,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galaxea fascicularis,Hexacorallia,massive,common,NT,0.382,763351.0110881298,62107800,240028,Euphylliidae,Oculinidae,spawner,Near Threatened,19.25,1.25,-137.90723798,28.586000000000002,36.60333856,482,62479426.589999996,-34.31454441,4.10818257573462,185,3,31.5600498,500,10.7,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galaxea longisepta,Hexacorallia,encrusting,rare,NT,0.087,173852.19362478348,11396169,130240,Euphylliidae,Oculinidae,NA,Near Threatened,20,5,155.1455046,28.586000000000002,29.70106225,NA,13248808.365,-24.18623776,0.485637749426508,845,NA,95.1302264,15,7.6,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gardineroseris planulata,Hexacorallia,massive,uncommon,LC,0.064,127891.26887340395,99491163,244599,Agariciidae,Agariciidae,spawner,Least Concern,25,8.666666666666666,-75.01978992,24.2825,35.84682684,144,85555016.06,-32.70106467,4.96591914025434,186,3.3666666666666667,26.4498211,NA,5,1.4,8.25,NA,NA,NA,NA,NA,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goniastrea edwardsi,Hexacorallia,massive,common,LC,0.106,211819.91407157527,57736668,227122,Merulinidae,Faviidae,spawner,Least Concern,30,0,-169.625752,62.379999999999995,37.2245759,308,56142436.515,-34.56210164,1.16598419379335,189,4.845000000000001,26.9215053,100,5,2.5,NA,NA,1.1618993456,0.20901606233333334,207.8,NA,NA,NA,NA,368000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97500232325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
